title,company,location,description,requirements,salary_min,salary_max,job_type,experience_level,posted_date
Senior Python Developer,TechCorp,San Francisco CA,"We are looking for an experienced Python developer to join our backend team. You will work on developing scalable APIs and microservices.","Python, Django, PostgreSQL, Redis, Docker, AWS",120000,180000,Full-time,Senior,2024-01-15
Frontend React Engineer,WebSolutions,New York NY,"Join our frontend team to build amazing user interfaces using React and modern JavaScript.","React, JavaScript, TypeScript, Redux, Jest, CSS",100000,150000,Full-time,Intermediate,2024-01-20
DevOps Engineer,CloudTech,Austin TX,"Seeking a DevOps engineer to manage our cloud infrastructure and CI/CD pipelines.","AWS, Docker, Kubernetes, Jenkins, Terraform, Linux",110000,160000,Full-time,Senior,2024-01-18
Data Scientist,DataDriven,Chicago IL,"Analyze large datasets and build machine learning models.","Python, Machine Learning, TensorFlow, pandas, numpy, SQL",130000,190000,Full-time,Senior,2024-01-22
Full Stack Developer,StartupHub,Boston MA,"Looking for a versatile full stack developer comfortable with both frontend and backend.","JavaScript, Node.js, React, MongoDB, Express, HTML, CSS",95000,140000,Full-time,Intermediate,2024-01-25
Mobile App Developer,AppCraft,Seattle WA,"Develop iOS and Android apps using React Native or native frameworks.","React Native, iOS, Android, JavaScript, TypeScript",105000,155000,Full-time,Intermediate,2024-01-28
Machine Learning Engineer,AI Innovations,Mountain View CA,"Deploy and optimize ML models in production.","Python, TensorFlow, PyTorch, Docker, Kubernetes, AWS",140000,200000,Full-time,Senior,2024-01-30
Backend Java Developer,Enterprise Systems,Dallas TX,"Develop enterprise-level applications and microservices.","Java, Spring Boot, Microservices, PostgreSQL, Redis, Docker",115000,165000,Full-time,Senior,2024-02-01
QA Engineer,TestPro,Denver CO,"Develop automated testing strategies and ensure product quality.","Python, Selenium, Jest, CI/CD, Agile",85000,120000,Full-time,Intermediate,2024-02-03
Product Manager,TechLead,Portland OR,"Lead product development with engineering and business teams.","Agile, Scrum, Product Management, Jira, Confluence",110000,160000,Full-time,Intermediate,2024-02-05

Cybersecurity Analyst,SecureNet,Los Angeles CA,"Monitor threats, perform vulnerability scans, and ensure system security.","SIEM, Vulnerability Scanning, Linux, Networking, Security Tools",95000,130000,Full-time,Intermediate,2024-02-06
Cloud Architect,MetaCloud,San Jose CA,"Design scalable cloud solutions.","AWS, Azure, GCP, Terraform, Kubernetes",150000,210000,Full-time,Senior,2024-02-07
Network Engineer,NetWave,Houston TX,"Manage network infrastructure and troubleshooting.","Cisco, Networking, Firewalls, Routing, Switching",90000,125000,Full-time,Intermediate,2024-02-08
UI/UX Designer,DesignFlow,Miami FL,"Create amazing UI and user experiences.","Figma, UX Research, Wireframing, Prototyping",70000,110000,Full-time,Intermediate,2024-02-09
